"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country","id"
"340","9959003603003338","9788417902254","2020","Zweig, Stefan","spa","Una boda en Lyon y otros relatos","<<Die>> Hochzeit von Lyon und andere Erzählungen","Barcelona","XA-ES","onb9959003603003338"
"343","990044435220603392","9789542915232","2012","Schneider, Robert","bul","Bokluk","Dreck","Sofija","XA-BG","onb990044435220603392"
"344","9958799960303338","9784261073386","2018","Flašar, Milena Michiko","jpn","Boku to nekutai san","Ich nannte ihn Krawatte","Tokyōto","XB-JP","onb9958799960303338"
"345","990036549640603392","9785170595860","2010","Jelinek, Elfriede","rus","Bolezn', ili Sovremennye ženščiny","fail","Moskva","XA-RU","onb990036549640603392"
"346","9958863152903338","9788859246497","2018","Roth, Joseph","ita","Bolle di sapone","fail","Torino","XA-IT","onb9958863152903338"
"348","990042803550603392","9781612191690","2013","Haas, Wolf","eng","The bone man","<<Der>> Knochenmann","[New York], NY [u.a.]","XA-GB","onb990042803550603392"
"350","990050086040603392","9784336057600","2013","Perutz, Leo","jpn","Boribaru kōshaku","<<Der>> Marques de Bolibar","Tōkyōto","XB-JP","onb990050086040603392"
"353","990049040180603392","9781909570023","2015","Aichinger, Ilse","eng","The Bound man and other stories","<<Der>> Gefesselte","Ventnor, Isle of Wight","XA-GB","onb990049040180603392"
"358","990047194560603392","9780374125981","2014","Celan, Paul","eng","Breathturn into timestead","fail","New York, NY","XD-US","onb990047194560603392"
"359","990045670090603392","9781907822537","2012","Freitag, Günther","eng","Brendel's fantasy","Brendels Fantasie","London","XA-GB","onb990045670090603392"
"360","990039054740603392","9781612191133","2012","Haas, Wolf","eng","Brenner and God","Brenner und der liebe Gott","Brooklyn, NY","XD-US","onb990039054740603392"
"361","990044100110603392","9789632443416","2012","Haas, Wolf","hun","A Brenner és a jóisten","<<Der>> Brenner und der lieber Gott","Budapest","XA-HU","onb990044100110603392"
"362","990049090680603392","9788074915659","2016","Haas, Wolf","cze","Brennerová","Brennerova","Brno","XA-CZ","onb990049090680603392"
"364","990049796370603392","9788799883622","2016","Hofmannsthal, Hugo ","dan","Et brev","<<Ein>> Brief","København","XA-DK","onb990049796370603392"
"368","990048788880603392","9788806221225","2015","Bernhard, Thomas","ita","La brigata dei cacciatori","fail","Torino","XA-IT","onb990048788880603392"
"369","990048243040603392","9782366241587","2015","Stifter, Adalbert","fre","Brigitta","Brigitta","Paris","XA-FR","onb990048243040603392"
"370","9958877648703338","9789934204784","2021","Simmel, Johannes Mario","lav","Brīnos, ka esmu tik priecīgs","Mich wundert, daß ich so fröhlich bin","Rīgā","XA-LV","onb9958877648703338"
"371","990039175230603392","9789537355753","2011","Bernhard, Thomas","hrv","Brisanje","Auslöschung. Ein Zerfall","Zagreb","XA-HR","onb990039175230603392"
"372","990046354950603392","9788679580733","2014","Bernhard, Thomas","srp","Brisanje","Auslöschung","Beograd","XA-SP","onb990046354950603392"
"379","9958503878803338","9786050824469","2017","Seethaler, Robert","tur","Bütün bir ömür","<<Ein>> ganzes Leben","Istanbul","XB-TR","onb9958503878803338"
"381","990045019740603392","9786053752943","2013","Broch, Hermann","tur","Büyülenme","<<Die>> Verzauberung","Kadıköy, İstanbul","XB-TR","onb990045019740603392"
"382","9958859855103338","9788412155143","2020","Haushofer, Marlen","spa","La buhardilla","<<Die>> Mansarde","Zaragoza","XA-ES","onb9958859855103338"
"384","9958585080403338","9786197362459","2019","Vögel, Stefan","bul","Bulčinskata roklja","fail","Sofija","XA-BG","onb9958585080403338"
"387","9958585079703338","9786197362503"," ","Jelinek, Elfriede","bul","Burgteatăr","fail","fail","XA-BG","onb9958585079703338"
"388","990017615550603392","9781901285857","2010","Zweig, Stefan","eng","Burning secret","Brennendes Geheimnis","London","XA-GB","onb990017615550603392"
"390","9958599478503338","9789020415674","2018","Roth, Joseph","dut","De buste van de keizer en andere verhalen","fail","Amsterdam","XA-NL","onb9958599478503338"
"393","990048895710603392","9782266249997","2015","Poznanski, Ursula","fre","Ça ressemble à un jeu ...","Fünf","[Paris]","XA-FR","onb990048895710603392"
"394","990049796350603392","9788466331005","2015","Glattauer, Daniel","spa","Cada siete olas","Alle sieben Wellen","[Barcelona]","XA-ES","onb990049796350603392"
"395","990043231060603392","9788420406398","2010","Glattauer, Daniel","spa","Cada siete olas","Alle sieben Wellen","Madrid","XA-ES","onb990043231060603392"
"396","990045971390603392","9788466319478","2012","Glattauer, Daniel","spa","Cada siete olas","Alle sieben Wellen","Tres Cantos (Madrid)","XA-ES","onb990045971390603392"
"401","9958582476103338","9788823523517","2019","Handke, Peter","ita","I calabroni","<<Die>> Hornissen","Milano","XA-IT","onb9958582476103338"
"402","990050797980603392","9788375154412","2017","Seethaler, Robert","pol","Całe życie","<<Ein>> ganzes Leben","Kraków","XA-PL","onb990050797980603392"
"403","990047210620603392","9788420686004","2014","Bernhard, Thomas","spa","La calera","<<Das>> Kalkwerk","Madrid","XA-ES","onb990047210620603392"
"404","990047522680603392","9781939931146","2014","Flašar, Milena Michiko","eng","I called him Necktie","Ich nannte ihn Krawatte","New York, NY","XD-US","onb990047522680603392"
"405","990045162650603392","9781612183237","2012","Glavinic, Thomas","eng","The camera killer","<<Der>> Kameramörder","Las Vegas, Nev.","XD-US","onb990045162650603392"
"406","990047194720603392","9788501089533","2011","Schnitzler, Arthur","por","O caminho para a liberdade","<<Der>> Weg ins Freie","Rio de Janeiro [u.a.]","XD-BR","onb990047194720603392"
"407","9958573155703338","9788854518285","2019","Seethaler, Robert","ita","Il campo","<<Das>> Feld","Milano","XA-IT","onb9958573155703338"
"408","9958492062903338","9788494595370","2017","Zweig, Stefan","spa","El canelobre enterrat","fail","Girona","XA-ES","onb9958492062903338"
"409","990038254270603392","9788861452091","2011","Werfel, Franz","ita","Il canto di Bernadette","<<Das>> Lied von Bernadette","Roma","XA-IT","onb990038254270603392"
"410","990051183960603392","9789898016102","2015","Jelinek, Elfriede","por","Capital fuck","<<Die>> Kontrakte des Kaufmanns","Vila do Conde","XA-PT","onb990051183960603392"
"411","9958520979303338","9788432234026","2018","Menasse, Robert","spa","La capital","<<Die>> Hauptstadt","Barcelona","XA-ES","onb9958520979303338"
"412","9958553472003338","9780857058621","2019","Menasse, Robert","eng","The capital","<<Die>> Hauptstadt","London","XA-GB","onb9958553472003338"
"413","9958585774203338","9781631495717","2019","Menasse, Robert","eng","The capital","<<Die>> Hauptstadt","New York","XD-US","onb9958585774203338"
"414","9958822279303338","9781631497865","2020","Menasse, Robert","eng","The capital","<<Die>> Hauptstadt","New York","XD-US","onb9958822279303338"
"415","9958552977203338","9789722065658","2019","Menasse, Robert","por","A capital","<<Die>> Hauptstadt","Alfragide","XA-PT","onb9958552977203338"
"416","9958545563803338","9788838938269","2018","Menasse, Robert","ita","La capitale","<<Die>> Hauptstadt","Palermo","XA-IT","onb9958545563803338"
"417","9958549666603338","9782378560102","2019","Menasse, Robert","fre","La capitale","<<Die>> Hauptstadt","[Lagrasse]","XA-FR","onb9958549666603338"
"419","9958546751803338","9788416291731","2018","Winkler, Katharina","spa","Cárdeno Adorno","Blauschmuck","Cáceres","XA-ES","onb9958546751803338"
"421","9958823772003338","9783899196788","2020","Kafka, Franz","spa","Carta al padre","Brief an den Vater","[Haselbach]","XA-DE-BY","onb9958823772003338"
"423","990050074870603392","9789876283489","2015","Handke, Peter","spa","Carta breve para un largo adiós","<<Der>> kurze Brief zum langen Abschied","Buenos Aires","XD-AR","onb990050074870603392"
"424","9958506175503338","9788491046363","2017","Handke, Peter","spa","Carta breve para un largo adiós","<<Der>> kurze Brief zum langen Abschied","Madrid","XA-ES","onb9958506175503338"
"426","9958899914603338","9789878413204","2021","Zweig, Stefan","spa","Carta de una desconocida","Brief einer Unbekannten","Ciudad Autónoma de Buenos Aires","XD-AR","onb9958899914603338"
"431","9958813675603338","9782366244335","2019","Stifter, Adalbert","fre","Les cartons de mon arrière grand-père","<<Die>> Mappe meines Urgroßvaters","Paris","XA-FR","onb9958813675603338"
"433","990042361630603392","9786176140146","2011","Ausländer, Rose","ukr","Čas feniksa","fail","Černivci","XA-UA","onb990042361630603392"
"434","9958562463703338","9788055165226","2019","Gruber, Andreas","slo","Čas smrti","Todesfrist","Bratislava","XA-SK","onb9958562463703338"
"435","9958812961403338","9788491293286","2020","Kröhn, Julia","spa","La casa de modas","<<Das>> Modehaus","Barcelona","XA-ES","onb9958812961403338"
"437","9958523169203338","9788416748822","2018","Wassermann, Jakob","spa","El caso Maurizius","<<Der>> Fall Maurizius","Barcelona","XA-ES","onb9958523169203338"
"443","990045987890603392","9780863158803","2012","Wassermann, Jakob","eng","Caspar Hauser","Caspar Hauser, oder die Trägheit des Herzens","Edinburgh","XA-GB","onb990045987890603392"
"444","9958821169203338","9786197596465","2021","Seethaler, Robert","bul","Čast posledna","<<Der>> letzte Satz","Sofija","XA-BG","onb9958821169203338"
"445","9958979200003338","9788473292429","2019","Kafka, Franz","cat","El castell","<<Das>> Schloss","Barcelona","XA-ES","onb9958979200003338"
"446","9958541276103338","9788822700568","2017","Kafka, Franz","ita","Il castello","<<Das>> Schloss","Roma","XA-IT","onb9958541276103338"
"447","9958914833403338","9788494510427","2019","Kafka, Franz","spa","El castillo","<<Das>> Schloss","[Barberà del Vallés, Barcelona]","XA-ES","onb9958914833403338"
"448","990049177560603392","9788415601753","2015","Kafka, Franz","spa","El castillo","<<Das>> Schloss","Madrid","XA-ES","onb990049177560603392"
"454","990049511850603392","9788563223401","2016","Schnitzler, Arthur","por","O cego Geronimo e seu irmão","fail","São José do Rio Preto, SP","XD-BR","onb990049511850603392"
"456","9958535173903338","9782226439123","2018","Rilke, Rainer Maria","fre","Célèbre la terre pour l'ange","fail","Paris","XA-FR","onb9958535173903338"
"458","990051016020603392","9788025906354","2017","Seethaler, Robert","cze","Celý život","Ein ganzes Leben","Praha","XA-CZ","onb990051016020603392"
"462","9958517879103338","9788323344247","2018","Ransmayr, Christoph","pol","Cesarski zegarmistrz","Cox","Krakow","XA-PL","onb9958517879103338"
"464","9958496162403338","9782953950687","2018","Messner, Elena","fre","Cet écho infini","<<Das>> lange Echo","[Marseille]","XA-FR","onb9958496162403338"
"466","9958504676003338","9789750709005","2015","Kafka, Franz","tur","Ceza kolonisinde","In der Strafkolonie","İstanbul","XB-TR","onb9958504676003338"
"468","9958493280403338","9786052980064","2017","Kafka, Franz","tur","Ceza Sömürgesi","In der Strafkolonie","İstanbul","XB-TR","onb9958493280403338"
"469","990038391610603392","9782330000356","2011","Menasse, Robert","fre","Chacun peut dire Je","Ich kann jeder sagen","Paris","XA-FR","onb990038391610603392"
"471","9958815763303338","9782848053417","2020","Seethaler, Robert","fre","Le champ","<<Das>> Feld","Paris","XA-FR","onb9958815763303338"
"472","990049415260603392","9780857423306","2016","Jelinek, Elfriede","eng","Charges (the supplicants)","fail","London","fail","onb990049415260603392"
"474","9958577378103338","9788328071476","2019","Elsberg, Marc","pol","Chciwość","Gier","Warszawa","XA-PL","onb9958577378103338"
"476","9958872732003338","9781943679133","2021","Bernhard, Thomas","eng","The cheap-eaters","<<Die>> Billigesser","[USA]","XD-US","onb9958872732003338"
"477","990044953290603392","9782805900013","2010","Seghers, Anna","fre","Le chemin de février","<<Der>> Weg durch den Februar","Bruxelles","XA-BE","onb990044953290603392"
"478","9958964600903338","9789533401324","2021","Grill, Andrea","hrv","Cherubino","Cherubino","Zagreb","XA-HR","onb9958964600903338"
"481","990037420300603392","9782914834407","2010","Hoffer, Klaus","fre","Chez les Bieresch","Bei den Bieresch","Paris","XA-FR","onb990037420300603392"
"484","990049796560603392","9789608154759","2015","Roth, Joseph","gre","Chilies kai dyo nychtes","<<Die>> Geschichte von der 1002. Nacht","Athēna","XA-GR","onb990049796560603392"
"487","9958975105403338","9788420454207","2019","Handke, Peter","spa","El chino del dolor","<<Der>> Chinese des Schmerzes","[Barcelona]","XA-ES","onb9958975105403338"
"488","9958490830503338","9788394686000","2017","Bernhard, Thomas","pol","Chodzenie","Gehen","Łódź","XA-PL","onb9958490830503338"
"490","990043220490603392","9789543203703","2011","Schnitzler, Arthur","bul","Chorovod na ljubovta","<<Ein>> Liebesreigen","Sofija","XA-BG","onb990043220490603392"
"491","990049779640603392","9789542915843","2016","Roth, Joseph","bul","Chotel ""Savoj""","Hotel Savoy","Sofija","XA-BG","onb990049779640603392"
"492","9958925334603338","9789919517380","2022","Handke, Peter","mon","Chuuchdijn tuuch","Kindergeschichte","Ulaanbaatar","XB-MN","onb9958925334603338"
"496","990047514870603392","9788493987961","2013","Roth, Joseph","spa","Los cien días","<<Die>> hundert Tage","[Madrid]","XA-ES","onb990047514870603392"
"498","9958975894703338","9788415117667","2020","Fried, Erich","spa","Cien poemas apátridas","Hundert Gedichte ohne Vaterland","Girona","XA-ES","onb9958975894703338"
"499","990050283060603392","9788393407583","2016","Härtling, Peter","pol","Cienie Schumanna","Schumanns Schatten","Łódź","XA-PL","onb990050283060603392"
"500","990051049010603392","9786176907336","2016","Seethaler, Robert","ukr","Cile žyttja","<<Ein>> ganzes Leben","Char'kiv","XA-UA","onb990051049010603392"
"501","990044404690603392","9788499705927","2013","Poznanski, Ursula","spa","Cinco","Fünf","Madrid","XA-ES","onb990044404690603392"
"502","990044477750603392","9788863805086","2013","Poznanski, Ursula","ita","Cinque","Fünf","Milano","XA-IT","onb990044477750603392"
"505","990051222000603392","9788379859481","2017","Raab, Thomas","pol","Cisza","Still","Warszawa","XA-PL","onb990051222000603392"
"506","9958506172703338","9789533320656","2017","Seethaler, Robert","hrv","Čitav jedan život","<<Ein>> ganzes Leben","Zagreb","XA-HR","onb9958506172703338"
"509","990043046470603392","9780374269357","2013","Wolf, Christa","eng","City of Angels, or, The overcoat of Dr. Freud","Stadt der Engel, oder, The overcoat of Dr. Freud","New York, NY","XD-US","onb990043046470603392"
"515","9958573664403338","9788437635989","2016","Bettauer, Hugo","spa","La ciudad sin judios","<<Die>> Stadt ohne Juden","Madrid","XA-ES","onb9958573664403338"
"516","9958585777003338","9788075114815","2019","Struhar, Stanislav","cze","Cizinci","Fremde Männer","Praha","XA-CZ","onb9958585777003338"
"517","9958503975203338","9788024259642","2018","Poznanski, Ursula","cze","Cizinec","Fremd","Praha","XA-CZ","onb9958503975203338"
"518","990047338630603392","9788072078790","2013","Struhar, Stanislav","cze","Cizinky","Fremde Frauen","Praha","XA-CZ","onb990047338630603392"
"519","9958545363603338","9789548692663","2018","Seethaler, Robert","bul","Cjal edin život","Ein ganzes Leben","Sofija","XA-BG","onb9958545363603338"
"520","9958504373703338","9786053329121","2018","Zweig, Stefan","tur","Clarissa","Clarissa","Beyoğlu, İstanbul","XB-TR","onb9958504373703338"
"521","9958816472803338","9788477275763","2017","Zweig, Stefan","cat","Clarissa","Clarissa","Barcelona","XA-ES","onb9958816472803338"
"522","9958815744203338","9788416748389","2017","Zweig, Stefan","spa","Clarissa","Clarissa","Barcelona","XA-ES","onb9958815744203338"
"523","9958522572803338","9788861928718","2015","Zweig, Stefan","ita","Clarissa","Clarissa","Roma","XA-IT","onb9958522572803338"
"524","9958976285203338","9781572412057","2016","Zweig, Stefan","eng","Clarissa","fail","Riverside, CA","XD-US","onb9958976285203338"
"527","9958555051303338","9788394686079","2019","Bernhard, Thomas","pol","Claus Peymann kupuje sobie spodnie i idzie za mną na obiad","Claus Peymann kauft sich eine Hose und geht mit mir essen","Łódź","XA-PL","onb9958555051303338"
